URL,Date,Guidelines,Conformance Level,Criterion ID,Criterion Title (ENG),Occurrences (Success),Occurrences (Failure),Occurrences (Warning),Result
"/data/mauve/MagentaTempStorage/19052026094428693.html,""19/05/2026, 11:44:29"",""WCAG 2.1"",""AA"",""'2.5.1"",""Pointer Gestures"",0,0,0,""Not evaluated"""
"/data/mauve/MagentaTempStorage/19052026094428693.html,""19/05/2026, 11:44:29"",""WCAG 2.1"",""AA"",""'2.5.2"",""Pointer Cancellation"",0,0,0,""Not evaluated"""
"/data/mauve/MagentaTempStorage/19052026094428693.html,""19/05/2026, 11:44:29"",""WCAG 2.1"",""AA"",""'2.5.3"",""Label in Name"",0,0,99,""Warning"""
"/data/mauve/MagentaTempStorage/19052026094428693.html,""19/05/2026, 11:44:29"",""WCAG 2.1"",""AA"",""'2.5.4"",""Motion Actuation"",0,0,0,""Not evaluated"""
"/data/mauve/MagentaTempStorage/19052026094428693.html,""19/05/2026, 11:44:29"",""WCAG 2.1"",""AA"",""'3.1.1"",""Language of Page"",1,0,0,""Passed"""
"/data/mauve/MagentaTempStorage/19052026094428693.html,""19/05/2026, 11:44:29"",""WCAG 2.1"",""AA"",""'3.1.2"",""Language of Parts"",1,0,0,""Passed"""
"/data/mauve/MagentaTempStorage/19052026094428693.html,""19/05/2026, 11:44:29"",""WCAG 2.1"",""AA"",""'3.2.1"",""On Focus"",0,0,0,""Not evaluated"""
"/data/mauve/MagentaTempStorage/19052026094428693.html,""19/05/2026, 11:44:29"",""WCAG 2.1"",""AA"",""'3.2.2"",""On input"",5,0,0,""Passed"""
"/data/mauve/MagentaTempStorage/19052026094428693.html,""19/05/2026, 11:44:29"",""WCAG 2.1"",""AA"",""'3.2.3"",""Consistent Navigation"",0,0,0,""Not evaluated"""
"/data/mauve/MagentaTempStorage/19052026094428693.html,""19/05/2026, 11:44:29"",""WCAG 2.1"",""AA"",""'3.2.4"",""Consistent Identification"",0,0,0,""Not evaluated"""
"/data/mauve/MagentaTempStorage/19052026094428693.html,""19/05/2026, 11:44:29"",""WCAG 2.1"",""AA"",""'3.3.1"",""Error Identification"",0,0,0,""Not evaluated"""
"/data/mauve/MagentaTempStorage/19052026094428693.html,""19/05/2026, 11:44:29"",""WCAG 2.1"",""AA"",""'3.3.2"",""Labels or Instructions"",2,0,0,""Passed"""
"/data/mauve/MagentaTempStorage/19052026094428693.html,""19/05/2026, 11:44:29"",""WCAG 2.1"",""AA"",""'3.3.3"",""Error Suggestion"",0,0,0,""Not evaluated"""
"/data/mauve/MagentaTempStorage/19052026094428693.html,""19/05/2026, 11:44:29"",""WCAG 2.1"",""AA"",""'3.3.4"",""Error Prevention (Legal, Financial, Data)"",0,0,0,""Not evaluated"""
"/data/mauve/MagentaTempStorage/19052026094428693.html,""19/05/2026, 11:44:29"",""WCAG 2.1"",""AA"",""'4.1.1"",""Parsing"",133,0,0,""Passed"""
"/data/mauve/MagentaTempStorage/19052026094428693.html,""19/05/2026, 11:44:29"",""WCAG 2.1"",""AA"",""'4.1.2"",""Name, Role, Value"",46,0,0,""Passed"""
"/data/mauve/MagentaTempStorage/19052026094428693.html,""19/05/2026, 11:44:29"",""WCAG 2.1"",""AA"",""'4.1.3"",""Status Messages"",75,0,5,""Warning"""
